description,silhouette,fabric,neckline,sleeve,length,embellishment,color,category
"Elegant white top crafted from cotton fabric featuring a collared, short sleeve, knee length length and embroidery detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Cotton,Collared,Short Sleeve,Knee Length,Embroidery,White,Top
"Elegant black shirt crafted from cotton fabric featuring a round neck, sleeveless, knee length length and lace detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Cotton,Round Neck,Sleeveless,Knee Length,Lace,Black,Shirt
"Elegant red jumpsuit crafted from linen fabric featuring a keyhole neck, full sleeve, midi length and none detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Linen,Keyhole Neck,Full Sleeve,Midi,None,Red,Jumpsuit
"Elegant white jumpsuit crafted from silk fabric featuring a boat neck, short sleeve, midi length and sequins detailing. Designed in a empire silhouette for a stylish look.",Empire,Silk,Boat Neck,Short Sleeve,Midi,Sequins,White,Jumpsuit
"Elegant purple top crafted from georgette fabric featuring a sweetheart neck, full sleeve, midi length and none detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Georgette,Sweetheart Neck,Full Sleeve,Midi,None,Purple,Top
"Elegant white dress crafted from polyester fabric featuring a collared, puff sleeve, midi length and lace detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Polyester,Collared,Puff Sleeve,Midi,Lace,White,Dress
"Elegant green co-ord set crafted from silk fabric featuring a v-neck, short sleeve, mini length and ruffles detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Silk,V-Neck,Short Sleeve,Mini,Ruffles,Green,Co-ord Set
"Elegant white kurti crafted from rayon fabric featuring a sweetheart neck, half sleeve, knee length length and beads detailing. Designed in a empire silhouette for a stylish look.",Empire,Rayon,Sweetheart Neck,Half Sleeve,Knee Length,Beads,White,Kurti
"Elegant pink dress crafted from rayon fabric featuring a keyhole neck, three-quarter sleeve, midi length and lace detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Rayon,Keyhole Neck,Three-Quarter Sleeve,Midi,Lace,Pink,Dress
"Elegant blue tunic crafted from cotton fabric featuring a sweetheart neck, three-quarter sleeve, midi length and sequins detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Cotton,Sweetheart Neck,Three-Quarter Sleeve,Midi,Sequins,Blue,Tunic
"Elegant green kurti crafted from denim fabric featuring a halter neck, puff sleeve, maxi length and embroidery detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Denim,Halter Neck,Puff Sleeve,Maxi,Embroidery,Green,Kurti
"Elegant blue kurti crafted from silk fabric featuring a halter neck, full sleeve, maxi length and printed detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Silk,Halter Neck,Full Sleeve,Maxi,Printed,Blue,Kurti
"Elegant yellow top crafted from polyester fabric featuring a round neck, sleeveless, knee length length and embroidery detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Polyester,Round Neck,Sleeveless,Knee Length,Embroidery,Yellow,Top
"Elegant white gown crafted from chiffon fabric featuring a keyhole neck, full sleeve, midi length and none detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Chiffon,Keyhole Neck,Full Sleeve,Midi,None,White,Gown
"Elegant black gown crafted from polyester fabric featuring a collared, three-quarter sleeve, knee length length and applique detailing. Designed in a empire silhouette for a stylish look.",Empire,Polyester,Collared,Three-Quarter Sleeve,Knee Length,Applique,Black,Gown
"Elegant pink kurti crafted from polyester fabric featuring a collared, puff sleeve, knee length length and embroidery detailing. Designed in a straight silhouette for a stylish look.",Straight,Polyester,Collared,Puff Sleeve,Knee Length,Embroidery,Pink,Kurti
"Elegant green shirt crafted from georgette fabric featuring a keyhole neck, sleeveless, mini length and printed detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,Keyhole Neck,Sleeveless,Mini,Printed,Green,Shirt
"Elegant red kurti crafted from linen fabric featuring a v-neck, sleeveless, maxi length and sequins detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Linen,V-Neck,Sleeveless,Maxi,Sequins,Red,Kurti
"Elegant blue gown crafted from rayon fabric featuring a collared, full sleeve, maxi length and lace detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Rayon,Collared,Full Sleeve,Maxi,Lace,Blue,Gown
"Elegant blue shirt crafted from georgette fabric featuring a keyhole neck, full sleeve, maxi length and sequins detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Georgette,Keyhole Neck,Full Sleeve,Maxi,Sequins,Blue,Shirt
"Elegant black top crafted from georgette fabric featuring a round neck, full sleeve, knee length length and lace detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Georgette,Round Neck,Full Sleeve,Knee Length,Lace,Black,Top
"Elegant blue gown crafted from linen fabric featuring a v-neck, sleeveless, midi length and sequins detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Linen,V-Neck,Sleeveless,Midi,Sequins,Blue,Gown
"Elegant purple jumpsuit crafted from linen fabric featuring a boat neck, puff sleeve, maxi length and lace detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Linen,Boat Neck,Puff Sleeve,Maxi,Lace,Purple,Jumpsuit
"Elegant yellow jumpsuit crafted from polyester fabric featuring a v-neck, puff sleeve, maxi length and printed detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Polyester,V-Neck,Puff Sleeve,Maxi,Printed,Yellow,Jumpsuit
"Elegant white shirt crafted from cotton fabric featuring a v-neck, sleeveless, maxi length and printed detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Cotton,V-Neck,Sleeveless,Maxi,Printed,White,Shirt
"Elegant green co-ord set crafted from linen fabric featuring a keyhole neck, short sleeve, maxi length and embroidery detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Linen,Keyhole Neck,Short Sleeve,Maxi,Embroidery,Green,Co-ord Set
"Elegant black top crafted from polyester fabric featuring a keyhole neck, full sleeve, mini length and none detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Polyester,Keyhole Neck,Full Sleeve,Mini,None,Black,Top
"Elegant yellow dress crafted from rayon fabric featuring a halter neck, three-quarter sleeve, maxi length and lace detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Rayon,Halter Neck,Three-Quarter Sleeve,Maxi,Lace,Yellow,Dress
"Elegant green jumpsuit crafted from chiffon fabric featuring a round neck, three-quarter sleeve, midi length and applique detailing. Designed in a straight silhouette for a stylish look.",Straight,Chiffon,Round Neck,Three-Quarter Sleeve,Midi,Applique,Green,Jumpsuit
"Elegant black tunic crafted from rayon fabric featuring a square neck, half sleeve, knee length length and none detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Rayon,Square Neck,Half Sleeve,Knee Length,None,Black,Tunic
"Elegant white kurti crafted from cotton fabric featuring a keyhole neck, full sleeve, knee length length and none detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Cotton,Keyhole Neck,Full Sleeve,Knee Length,None,White,Kurti
"Elegant black top crafted from polyester fabric featuring a square neck, three-quarter sleeve, mini length and lace detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Polyester,Square Neck,Three-Quarter Sleeve,Mini,Lace,Black,Top
"Elegant green jumpsuit crafted from georgette fabric featuring a collared, short sleeve, midi length and lace detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Georgette,Collared,Short Sleeve,Midi,Lace,Green,Jumpsuit
"Elegant purple top crafted from silk fabric featuring a keyhole neck, half sleeve, mini length and none detailing. Designed in a straight silhouette for a stylish look.",Straight,Silk,Keyhole Neck,Half Sleeve,Mini,None,Purple,Top
"Elegant blue tunic crafted from linen fabric featuring a collared, short sleeve, midi length and sequins detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Linen,Collared,Short Sleeve,Midi,Sequins,Blue,Tunic
"Elegant green top crafted from rayon fabric featuring a keyhole neck, full sleeve, midi length and none detailing. Designed in a shift silhouette for a stylish look.",Shift,Rayon,Keyhole Neck,Full Sleeve,Midi,None,Green,Top
"Elegant green shirt crafted from silk fabric featuring a v-neck, sleeveless, knee length length and beads detailing. Designed in a straight silhouette for a stylish look.",Straight,Silk,V-Neck,Sleeveless,Knee Length,Beads,Green,Shirt
"Elegant black top crafted from linen fabric featuring a collared, full sleeve, maxi length and beads detailing. Designed in a empire silhouette for a stylish look.",Empire,Linen,Collared,Full Sleeve,Maxi,Beads,Black,Top
"Elegant green kurti crafted from silk fabric featuring a round neck, sleeveless, midi length and embroidery detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Silk,Round Neck,Sleeveless,Midi,Embroidery,Green,Kurti
"Elegant black tunic crafted from chiffon fabric featuring a round neck, sleeveless, mini length and embroidery detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Chiffon,Round Neck,Sleeveless,Mini,Embroidery,Black,Tunic
"Elegant black tunic crafted from chiffon fabric featuring a boat neck, sleeveless, midi length and printed detailing. Designed in a straight silhouette for a stylish look.",Straight,Chiffon,Boat Neck,Sleeveless,Midi,Printed,Black,Tunic
"Elegant blue kurti crafted from linen fabric featuring a v-neck, half sleeve, maxi length and embroidery detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Linen,V-Neck,Half Sleeve,Maxi,Embroidery,Blue,Kurti
"Elegant blue gown crafted from chiffon fabric featuring a round neck, short sleeve, midi length and ruffles detailing. Designed in a straight silhouette for a stylish look.",Straight,Chiffon,Round Neck,Short Sleeve,Midi,Ruffles,Blue,Gown
"Elegant blue co-ord set crafted from polyester fabric featuring a halter neck, sleeveless, maxi length and lace detailing. Designed in a straight silhouette for a stylish look.",Straight,Polyester,Halter Neck,Sleeveless,Maxi,Lace,Blue,Co-ord Set
"Elegant yellow tunic crafted from silk fabric featuring a square neck, short sleeve, mini length and lace detailing. Designed in a empire silhouette for a stylish look.",Empire,Silk,Square Neck,Short Sleeve,Mini,Lace,Yellow,Tunic
"Elegant black top crafted from polyester fabric featuring a collared, half sleeve, maxi length and printed detailing. Designed in a shift silhouette for a stylish look.",Shift,Polyester,Collared,Half Sleeve,Maxi,Printed,Black,Top
"Elegant pink tunic crafted from rayon fabric featuring a collared, sleeveless, mini length and ruffles detailing. Designed in a shift silhouette for a stylish look.",Shift,Rayon,Collared,Sleeveless,Mini,Ruffles,Pink,Tunic
"Elegant black jumpsuit crafted from polyester fabric featuring a halter neck, full sleeve, knee length length and beads detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Polyester,Halter Neck,Full Sleeve,Knee Length,Beads,Black,Jumpsuit
"Elegant pink top crafted from linen fabric featuring a sweetheart neck, three-quarter sleeve, mini length and printed detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Linen,Sweetheart Neck,Three-Quarter Sleeve,Mini,Printed,Pink,Top
"Elegant red shirt crafted from silk fabric featuring a halter neck, half sleeve, maxi length and beads detailing. Designed in a shift silhouette for a stylish look.",Shift,Silk,Halter Neck,Half Sleeve,Maxi,Beads,Red,Shirt
"Elegant black gown crafted from chiffon fabric featuring a boat neck, full sleeve, midi length and ruffles detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Chiffon,Boat Neck,Full Sleeve,Midi,Ruffles,Black,Gown
"Elegant purple co-ord set crafted from linen fabric featuring a halter neck, full sleeve, midi length and applique detailing. Designed in a shift silhouette for a stylish look.",Shift,Linen,Halter Neck,Full Sleeve,Midi,Applique,Purple,Co-ord Set
"Elegant pink top crafted from denim fabric featuring a boat neck, puff sleeve, mini length and beads detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Denim,Boat Neck,Puff Sleeve,Mini,Beads,Pink,Top
"Elegant black shirt crafted from silk fabric featuring a square neck, short sleeve, knee length length and none detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Silk,Square Neck,Short Sleeve,Knee Length,None,Black,Shirt
"Elegant purple jumpsuit crafted from polyester fabric featuring a keyhole neck, three-quarter sleeve, knee length length and ruffles detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Polyester,Keyhole Neck,Three-Quarter Sleeve,Knee Length,Ruffles,Purple,Jumpsuit
"Elegant red co-ord set crafted from rayon fabric featuring a round neck, sleeveless, maxi length and lace detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Rayon,Round Neck,Sleeveless,Maxi,Lace,Red,Co-ord Set
"Elegant pink co-ord set crafted from linen fabric featuring a v-neck, three-quarter sleeve, knee length length and applique detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Linen,V-Neck,Three-Quarter Sleeve,Knee Length,Applique,Pink,Co-ord Set
"Elegant green shirt crafted from denim fabric featuring a boat neck, puff sleeve, maxi length and applique detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Denim,Boat Neck,Puff Sleeve,Maxi,Applique,Green,Shirt
"Elegant green shirt crafted from denim fabric featuring a square neck, half sleeve, maxi length and sequins detailing. Designed in a shift silhouette for a stylish look.",Shift,Denim,Square Neck,Half Sleeve,Maxi,Sequins,Green,Shirt
"Elegant red shirt crafted from georgette fabric featuring a sweetheart neck, full sleeve, mini length and embroidery detailing. Designed in a shift silhouette for a stylish look.",Shift,Georgette,Sweetheart Neck,Full Sleeve,Mini,Embroidery,Red,Shirt
"Elegant pink co-ord set crafted from rayon fabric featuring a square neck, sleeveless, maxi length and ruffles detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Rayon,Square Neck,Sleeveless,Maxi,Ruffles,Pink,Co-ord Set
"Elegant yellow co-ord set crafted from cotton fabric featuring a square neck, three-quarter sleeve, maxi length and none detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Cotton,Square Neck,Three-Quarter Sleeve,Maxi,None,Yellow,Co-ord Set
"Elegant purple shirt crafted from georgette fabric featuring a collared, three-quarter sleeve, maxi length and lace detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,Collared,Three-Quarter Sleeve,Maxi,Lace,Purple,Shirt
"Elegant yellow kurti crafted from chiffon fabric featuring a keyhole neck, sleeveless, maxi length and printed detailing. Designed in a shift silhouette for a stylish look.",Shift,Chiffon,Keyhole Neck,Sleeveless,Maxi,Printed,Yellow,Kurti
"Elegant yellow kurti crafted from rayon fabric featuring a round neck, three-quarter sleeve, mini length and sequins detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Rayon,Round Neck,Three-Quarter Sleeve,Mini,Sequins,Yellow,Kurti
"Elegant blue co-ord set crafted from rayon fabric featuring a round neck, half sleeve, maxi length and printed detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Rayon,Round Neck,Half Sleeve,Maxi,Printed,Blue,Co-ord Set
"Elegant white co-ord set crafted from georgette fabric featuring a halter neck, half sleeve, maxi length and beads detailing. Designed in a empire silhouette for a stylish look.",Empire,Georgette,Halter Neck,Half Sleeve,Maxi,Beads,White,Co-ord Set
"Elegant black shirt crafted from cotton fabric featuring a sweetheart neck, short sleeve, mini length and none detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Cotton,Sweetheart Neck,Short Sleeve,Mini,None,Black,Shirt
"Elegant white shirt crafted from cotton fabric featuring a boat neck, short sleeve, knee length length and applique detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Cotton,Boat Neck,Short Sleeve,Knee Length,Applique,White,Shirt
"Elegant green top crafted from silk fabric featuring a sweetheart neck, short sleeve, mini length and embroidery detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Silk,Sweetheart Neck,Short Sleeve,Mini,Embroidery,Green,Top
"Elegant blue top crafted from silk fabric featuring a halter neck, three-quarter sleeve, knee length length and sequins detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Silk,Halter Neck,Three-Quarter Sleeve,Knee Length,Sequins,Blue,Top
"Elegant white tunic crafted from polyester fabric featuring a round neck, half sleeve, maxi length and printed detailing. Designed in a shift silhouette for a stylish look.",Shift,Polyester,Round Neck,Half Sleeve,Maxi,Printed,White,Tunic
"Elegant purple kurti crafted from chiffon fabric featuring a keyhole neck, sleeveless, maxi length and printed detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Chiffon,Keyhole Neck,Sleeveless,Maxi,Printed,Purple,Kurti
"Elegant yellow gown crafted from rayon fabric featuring a collared, full sleeve, maxi length and applique detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Rayon,Collared,Full Sleeve,Maxi,Applique,Yellow,Gown
"Elegant purple jumpsuit crafted from linen fabric featuring a v-neck, half sleeve, maxi length and lace detailing. Designed in a empire silhouette for a stylish look.",Empire,Linen,V-Neck,Half Sleeve,Maxi,Lace,Purple,Jumpsuit
"Elegant blue tunic crafted from cotton fabric featuring a keyhole neck, half sleeve, knee length length and applique detailing. Designed in a empire silhouette for a stylish look.",Empire,Cotton,Keyhole Neck,Half Sleeve,Knee Length,Applique,Blue,Tunic
"Elegant blue top crafted from georgette fabric featuring a collared, full sleeve, midi length and none detailing. Designed in a shift silhouette for a stylish look.",Shift,Georgette,Collared,Full Sleeve,Midi,None,Blue,Top
"Elegant purple co-ord set crafted from chiffon fabric featuring a keyhole neck, full sleeve, knee length length and applique detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Chiffon,Keyhole Neck,Full Sleeve,Knee Length,Applique,Purple,Co-ord Set
"Elegant green tunic crafted from polyester fabric featuring a collared, short sleeve, maxi length and lace detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Polyester,Collared,Short Sleeve,Maxi,Lace,Green,Tunic
"Elegant purple gown crafted from georgette fabric featuring a halter neck, puff sleeve, midi length and printed detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Georgette,Halter Neck,Puff Sleeve,Midi,Printed,Purple,Gown
"Elegant white kurti crafted from silk fabric featuring a square neck, sleeveless, knee length length and printed detailing. Designed in a shift silhouette for a stylish look.",Shift,Silk,Square Neck,Sleeveless,Knee Length,Printed,White,Kurti
"Elegant blue gown crafted from linen fabric featuring a keyhole neck, half sleeve, midi length and sequins detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Linen,Keyhole Neck,Half Sleeve,Midi,Sequins,Blue,Gown
"Elegant green dress crafted from georgette fabric featuring a boat neck, half sleeve, mini length and embroidery detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Georgette,Boat Neck,Half Sleeve,Mini,Embroidery,Green,Dress
"Elegant black gown crafted from silk fabric featuring a boat neck, puff sleeve, maxi length and sequins detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Silk,Boat Neck,Puff Sleeve,Maxi,Sequins,Black,Gown
"Elegant green co-ord set crafted from denim fabric featuring a keyhole neck, half sleeve, knee length length and none detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Denim,Keyhole Neck,Half Sleeve,Knee Length,None,Green,Co-ord Set
"Elegant red kurti crafted from polyester fabric featuring a halter neck, three-quarter sleeve, mini length and none detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Polyester,Halter Neck,Three-Quarter Sleeve,Mini,None,Red,Kurti
"Elegant yellow co-ord set crafted from polyester fabric featuring a square neck, sleeveless, maxi length and lace detailing. Designed in a shift silhouette for a stylish look.",Shift,Polyester,Square Neck,Sleeveless,Maxi,Lace,Yellow,Co-ord Set
"Elegant blue shirt crafted from silk fabric featuring a halter neck, half sleeve, mini length and sequins detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Silk,Halter Neck,Half Sleeve,Mini,Sequins,Blue,Shirt
"Elegant red dress crafted from polyester fabric featuring a boat neck, short sleeve, knee length length and sequins detailing. Designed in a shift silhouette for a stylish look.",Shift,Polyester,Boat Neck,Short Sleeve,Knee Length,Sequins,Red,Dress
"Elegant green gown crafted from denim fabric featuring a keyhole neck, half sleeve, mini length and lace detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Denim,Keyhole Neck,Half Sleeve,Mini,Lace,Green,Gown
"Elegant white shirt crafted from polyester fabric featuring a square neck, half sleeve, knee length length and ruffles detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Polyester,Square Neck,Half Sleeve,Knee Length,Ruffles,White,Shirt
"Elegant green gown crafted from silk fabric featuring a boat neck, sleeveless, mini length and embroidery detailing. Designed in a straight silhouette for a stylish look.",Straight,Silk,Boat Neck,Sleeveless,Mini,Embroidery,Green,Gown
"Elegant green co-ord set crafted from polyester fabric featuring a keyhole neck, puff sleeve, midi length and ruffles detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Polyester,Keyhole Neck,Puff Sleeve,Midi,Ruffles,Green,Co-ord Set
"Elegant black top crafted from polyester fabric featuring a round neck, three-quarter sleeve, midi length and beads detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Polyester,Round Neck,Three-Quarter Sleeve,Midi,Beads,Black,Top
"Elegant purple co-ord set crafted from cotton fabric featuring a collared, full sleeve, mini length and embroidery detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Cotton,Collared,Full Sleeve,Mini,Embroidery,Purple,Co-ord Set
"Elegant purple tunic crafted from rayon fabric featuring a halter neck, puff sleeve, maxi length and sequins detailing. Designed in a shift silhouette for a stylish look.",Shift,Rayon,Halter Neck,Puff Sleeve,Maxi,Sequins,Purple,Tunic
"Elegant pink jumpsuit crafted from georgette fabric featuring a sweetheart neck, puff sleeve, mini length and embroidery detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Georgette,Sweetheart Neck,Puff Sleeve,Mini,Embroidery,Pink,Jumpsuit
"Elegant white tunic crafted from silk fabric featuring a halter neck, full sleeve, mini length and applique detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Silk,Halter Neck,Full Sleeve,Mini,Applique,White,Tunic
"Elegant yellow dress crafted from georgette fabric featuring a v-neck, three-quarter sleeve, mini length and applique detailing. Designed in a shift silhouette for a stylish look.",Shift,Georgette,V-Neck,Three-Quarter Sleeve,Mini,Applique,Yellow,Dress
"Elegant blue gown crafted from georgette fabric featuring a keyhole neck, puff sleeve, maxi length and none detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Georgette,Keyhole Neck,Puff Sleeve,Maxi,None,Blue,Gown
