description,silhouette,fabric,neckline,sleeve,length,embellishment,color,category
"Elegant black shirt crafted from silk fabric featuring a keyhole neck, puff sleeve, maxi length and sequins detailing. Designed in a straight silhouette for a stylish look.",Straight,Silk,Keyhole Neck,Puff Sleeve,Maxi,Sequins,Black,Shirt
"Elegant blue top crafted from silk fabric featuring a round neck, full sleeve, maxi length and sequins detailing. Designed in a straight silhouette for a stylish look.",Straight,Silk,Round Neck,Full Sleeve,Maxi,Sequins,Blue,Top
"Elegant yellow co-ord set crafted from polyester fabric featuring a boat neck, three-quarter sleeve, midi length and beads detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Polyester,Boat Neck,Three-Quarter Sleeve,Midi,Beads,Yellow,Co-ord Set
"Elegant blue kurti crafted from linen fabric featuring a keyhole neck, full sleeve, knee length length and ruffles detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Linen,Keyhole Neck,Full Sleeve,Knee Length,Ruffles,Blue,Kurti
"Elegant green gown crafted from silk fabric featuring a halter neck, half sleeve, midi length and none detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Silk,Halter Neck,Half Sleeve,Midi,None,Green,Gown
"Elegant pink jumpsuit crafted from rayon fabric featuring a keyhole neck, full sleeve, maxi length and printed detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Rayon,Keyhole Neck,Full Sleeve,Maxi,Printed,Pink,Jumpsuit
"Elegant blue jumpsuit crafted from georgette fabric featuring a square neck, puff sleeve, knee length length and ruffles detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Georgette,Square Neck,Puff Sleeve,Knee Length,Ruffles,Blue,Jumpsuit
"Elegant red co-ord set crafted from georgette fabric featuring a keyhole neck, puff sleeve, maxi length and ruffles detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,Keyhole Neck,Puff Sleeve,Maxi,Ruffles,Red,Co-ord Set
"Elegant purple dress crafted from rayon fabric featuring a sweetheart neck, sleeveless, maxi length and sequins detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Rayon,Sweetheart Neck,Sleeveless,Maxi,Sequins,Purple,Dress
"Elegant pink jumpsuit crafted from chiffon fabric featuring a boat neck, sleeveless, maxi length and beads detailing. Designed in a straight silhouette for a stylish look.",Straight,Chiffon,Boat Neck,Sleeveless,Maxi,Beads,Pink,Jumpsuit
"Elegant white shirt crafted from georgette fabric featuring a halter neck, half sleeve, maxi length and none detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Georgette,Halter Neck,Half Sleeve,Maxi,None,White,Shirt
"Elegant purple kurti crafted from linen fabric featuring a v-neck, three-quarter sleeve, mini length and sequins detailing. Designed in a shift silhouette for a stylish look.",Shift,Linen,V-Neck,Three-Quarter Sleeve,Mini,Sequins,Purple,Kurti
"Elegant pink tunic crafted from cotton fabric featuring a round neck, half sleeve, mini length and beads detailing. Designed in a shift silhouette for a stylish look.",Shift,Cotton,Round Neck,Half Sleeve,Mini,Beads,Pink,Tunic
"Elegant red kurti crafted from rayon fabric featuring a square neck, full sleeve, maxi length and embroidery detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Rayon,Square Neck,Full Sleeve,Maxi,Embroidery,Red,Kurti
"Elegant purple gown crafted from chiffon fabric featuring a square neck, three-quarter sleeve, knee length length and lace detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Chiffon,Square Neck,Three-Quarter Sleeve,Knee Length,Lace,Purple,Gown
"Elegant white co-ord set crafted from silk fabric featuring a round neck, three-quarter sleeve, midi length and embroidery detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Silk,Round Neck,Three-Quarter Sleeve,Midi,Embroidery,White,Co-ord Set
"Elegant green shirt crafted from silk fabric featuring a halter neck, puff sleeve, midi length and applique detailing. Designed in a empire silhouette for a stylish look.",Empire,Silk,Halter Neck,Puff Sleeve,Midi,Applique,Green,Shirt
"Elegant green gown crafted from denim fabric featuring a v-neck, short sleeve, maxi length and printed detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Denim,V-Neck,Short Sleeve,Maxi,Printed,Green,Gown
"Elegant green shirt crafted from chiffon fabric featuring a collared, sleeveless, mini length and applique detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Chiffon,Collared,Sleeveless,Mini,Applique,Green,Shirt
"Elegant white dress crafted from linen fabric featuring a square neck, full sleeve, midi length and embroidery detailing. Designed in a empire silhouette for a stylish look.",Empire,Linen,Square Neck,Full Sleeve,Midi,Embroidery,White,Dress
"Elegant white gown crafted from denim fabric featuring a round neck, full sleeve, midi length and embroidery detailing. Designed in a shift silhouette for a stylish look.",Shift,Denim,Round Neck,Full Sleeve,Midi,Embroidery,White,Gown
"Elegant green kurti crafted from chiffon fabric featuring a boat neck, short sleeve, knee length length and printed detailing. Designed in a empire silhouette for a stylish look.",Empire,Chiffon,Boat Neck,Short Sleeve,Knee Length,Printed,Green,Kurti
"Elegant purple top crafted from denim fabric featuring a collared, puff sleeve, midi length and sequins detailing. Designed in a shift silhouette for a stylish look.",Shift,Denim,Collared,Puff Sleeve,Midi,Sequins,Purple,Top
"Elegant yellow dress crafted from linen fabric featuring a halter neck, full sleeve, midi length and sequins detailing. Designed in a straight silhouette for a stylish look.",Straight,Linen,Halter Neck,Full Sleeve,Midi,Sequins,Yellow,Dress
"Elegant pink top crafted from polyester fabric featuring a keyhole neck, half sleeve, midi length and ruffles detailing. Designed in a shift silhouette for a stylish look.",Shift,Polyester,Keyhole Neck,Half Sleeve,Midi,Ruffles,Pink,Top
"Elegant white co-ord set crafted from denim fabric featuring a round neck, full sleeve, midi length and lace detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Denim,Round Neck,Full Sleeve,Midi,Lace,White,Co-ord Set
"Elegant green co-ord set crafted from chiffon fabric featuring a v-neck, short sleeve, mini length and none detailing. Designed in a shift silhouette for a stylish look.",Shift,Chiffon,V-Neck,Short Sleeve,Mini,None,Green,Co-ord Set
"Elegant purple tunic crafted from polyester fabric featuring a square neck, full sleeve, knee length length and ruffles detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Polyester,Square Neck,Full Sleeve,Knee Length,Ruffles,Purple,Tunic
"Elegant yellow gown crafted from rayon fabric featuring a halter neck, puff sleeve, mini length and applique detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Rayon,Halter Neck,Puff Sleeve,Mini,Applique,Yellow,Gown
"Elegant pink top crafted from georgette fabric featuring a square neck, three-quarter sleeve, maxi length and lace detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,Square Neck,Three-Quarter Sleeve,Maxi,Lace,Pink,Top
"Elegant white co-ord set crafted from georgette fabric featuring a round neck, three-quarter sleeve, midi length and lace detailing. Designed in a empire silhouette for a stylish look.",Empire,Georgette,Round Neck,Three-Quarter Sleeve,Midi,Lace,White,Co-ord Set
"Elegant red shirt crafted from linen fabric featuring a round neck, sleeveless, midi length and lace detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Linen,Round Neck,Sleeveless,Midi,Lace,Red,Shirt
"Elegant black gown crafted from linen fabric featuring a square neck, short sleeve, midi length and embroidery detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Linen,Square Neck,Short Sleeve,Midi,Embroidery,Black,Gown
"Elegant red dress crafted from rayon fabric featuring a collared, short sleeve, mini length and none detailing. Designed in a straight silhouette for a stylish look.",Straight,Rayon,Collared,Short Sleeve,Mini,None,Red,Dress
"Elegant black kurti crafted from linen fabric featuring a sweetheart neck, sleeveless, knee length length and beads detailing. Designed in a empire silhouette for a stylish look.",Empire,Linen,Sweetheart Neck,Sleeveless,Knee Length,Beads,Black,Kurti
"Elegant white co-ord set crafted from polyester fabric featuring a v-neck, three-quarter sleeve, maxi length and printed detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Polyester,V-Neck,Three-Quarter Sleeve,Maxi,Printed,White,Co-ord Set
"Elegant purple jumpsuit crafted from cotton fabric featuring a collared, three-quarter sleeve, mini length and none detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Cotton,Collared,Three-Quarter Sleeve,Mini,None,Purple,Jumpsuit
"Elegant white tunic crafted from polyester fabric featuring a keyhole neck, puff sleeve, maxi length and sequins detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Polyester,Keyhole Neck,Puff Sleeve,Maxi,Sequins,White,Tunic
"Elegant green co-ord set crafted from polyester fabric featuring a boat neck, half sleeve, midi length and ruffles detailing. Designed in a straight silhouette for a stylish look.",Straight,Polyester,Boat Neck,Half Sleeve,Midi,Ruffles,Green,Co-ord Set
"Elegant purple shirt crafted from polyester fabric featuring a v-neck, puff sleeve, knee length length and ruffles detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Polyester,V-Neck,Puff Sleeve,Knee Length,Ruffles,Purple,Shirt
"Elegant pink jumpsuit crafted from georgette fabric featuring a keyhole neck, three-quarter sleeve, maxi length and sequins detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Georgette,Keyhole Neck,Three-Quarter Sleeve,Maxi,Sequins,Pink,Jumpsuit
"Elegant white top crafted from silk fabric featuring a sweetheart neck, short sleeve, maxi length and sequins detailing. Designed in a empire silhouette for a stylish look.",Empire,Silk,Sweetheart Neck,Short Sleeve,Maxi,Sequins,White,Top
"Elegant black tunic crafted from chiffon fabric featuring a v-neck, puff sleeve, midi length and embroidery detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Chiffon,V-Neck,Puff Sleeve,Midi,Embroidery,Black,Tunic
"Elegant green gown crafted from chiffon fabric featuring a sweetheart neck, puff sleeve, maxi length and none detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Chiffon,Sweetheart Neck,Puff Sleeve,Maxi,None,Green,Gown
"Elegant white tunic crafted from polyester fabric featuring a square neck, short sleeve, maxi length and lace detailing. Designed in a empire silhouette for a stylish look.",Empire,Polyester,Square Neck,Short Sleeve,Maxi,Lace,White,Tunic
"Elegant black gown crafted from polyester fabric featuring a collared, full sleeve, knee length length and ruffles detailing. Designed in a empire silhouette for a stylish look.",Empire,Polyester,Collared,Full Sleeve,Knee Length,Ruffles,Black,Gown
"Elegant pink dress crafted from rayon fabric featuring a collared, puff sleeve, midi length and printed detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Rayon,Collared,Puff Sleeve,Midi,Printed,Pink,Dress
"Elegant white shirt crafted from rayon fabric featuring a halter neck, sleeveless, knee length length and none detailing. Designed in a straight silhouette for a stylish look.",Straight,Rayon,Halter Neck,Sleeveless,Knee Length,None,White,Shirt
"Elegant green tunic crafted from chiffon fabric featuring a keyhole neck, half sleeve, knee length length and printed detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Chiffon,Keyhole Neck,Half Sleeve,Knee Length,Printed,Green,Tunic
"Elegant green co-ord set crafted from cotton fabric featuring a boat neck, short sleeve, mini length and sequins detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Cotton,Boat Neck,Short Sleeve,Mini,Sequins,Green,Co-ord Set
"Elegant white tunic crafted from denim fabric featuring a keyhole neck, three-quarter sleeve, midi length and lace detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Denim,Keyhole Neck,Three-Quarter Sleeve,Midi,Lace,White,Tunic
"Elegant black shirt crafted from polyester fabric featuring a collared, puff sleeve, maxi length and beads detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Polyester,Collared,Puff Sleeve,Maxi,Beads,Black,Shirt
"Elegant red gown crafted from cotton fabric featuring a round neck, short sleeve, midi length and lace detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Cotton,Round Neck,Short Sleeve,Midi,Lace,Red,Gown
"Elegant red kurti crafted from georgette fabric featuring a v-neck, sleeveless, maxi length and ruffles detailing. Designed in a shift silhouette for a stylish look.",Shift,Georgette,V-Neck,Sleeveless,Maxi,Ruffles,Red,Kurti
"Elegant yellow dress crafted from linen fabric featuring a sweetheart neck, sleeveless, maxi length and none detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Linen,Sweetheart Neck,Sleeveless,Maxi,None,Yellow,Dress
"Elegant yellow gown crafted from polyester fabric featuring a sweetheart neck, full sleeve, maxi length and ruffles detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Polyester,Sweetheart Neck,Full Sleeve,Maxi,Ruffles,Yellow,Gown
"Elegant pink top crafted from chiffon fabric featuring a round neck, half sleeve, knee length length and applique detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Chiffon,Round Neck,Half Sleeve,Knee Length,Applique,Pink,Top
"Elegant yellow gown crafted from polyester fabric featuring a square neck, three-quarter sleeve, maxi length and sequins detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Polyester,Square Neck,Three-Quarter Sleeve,Maxi,Sequins,Yellow,Gown
"Elegant blue tunic crafted from linen fabric featuring a sweetheart neck, short sleeve, mini length and sequins detailing. Designed in a empire silhouette for a stylish look.",Empire,Linen,Sweetheart Neck,Short Sleeve,Mini,Sequins,Blue,Tunic
"Elegant blue kurti crafted from rayon fabric featuring a square neck, sleeveless, knee length length and beads detailing. Designed in a empire silhouette for a stylish look.",Empire,Rayon,Square Neck,Sleeveless,Knee Length,Beads,Blue,Kurti
"Elegant purple tunic crafted from polyester fabric featuring a boat neck, puff sleeve, maxi length and applique detailing. Designed in a straight silhouette for a stylish look.",Straight,Polyester,Boat Neck,Puff Sleeve,Maxi,Applique,Purple,Tunic
"Elegant green gown crafted from rayon fabric featuring a keyhole neck, sleeveless, maxi length and applique detailing. Designed in a empire silhouette for a stylish look.",Empire,Rayon,Keyhole Neck,Sleeveless,Maxi,Applique,Green,Gown
"Elegant black dress crafted from georgette fabric featuring a v-neck, half sleeve, maxi length and applique detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,V-Neck,Half Sleeve,Maxi,Applique,Black,Dress
"Elegant purple dress crafted from silk fabric featuring a v-neck, puff sleeve, mini length and ruffles detailing. Designed in a empire silhouette for a stylish look.",Empire,Silk,V-Neck,Puff Sleeve,Mini,Ruffles,Purple,Dress
"Elegant black co-ord set crafted from linen fabric featuring a sweetheart neck, full sleeve, maxi length and embroidery detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Linen,Sweetheart Neck,Full Sleeve,Maxi,Embroidery,Black,Co-ord Set
"Elegant blue co-ord set crafted from georgette fabric featuring a v-neck, full sleeve, knee length length and none detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Georgette,V-Neck,Full Sleeve,Knee Length,None,Blue,Co-ord Set
"Elegant yellow tunic crafted from rayon fabric featuring a sweetheart neck, half sleeve, midi length and ruffles detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Rayon,Sweetheart Neck,Half Sleeve,Midi,Ruffles,Yellow,Tunic
"Elegant green gown crafted from georgette fabric featuring a v-neck, half sleeve, mini length and ruffles detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,V-Neck,Half Sleeve,Mini,Ruffles,Green,Gown
"Elegant green jumpsuit crafted from georgette fabric featuring a v-neck, full sleeve, knee length length and printed detailing. Designed in a straight silhouette for a stylish look.",Straight,Georgette,V-Neck,Full Sleeve,Knee Length,Printed,Green,Jumpsuit
"Elegant red top crafted from polyester fabric featuring a collared, full sleeve, maxi length and printed detailing. Designed in a straight silhouette for a stylish look.",Straight,Polyester,Collared,Full Sleeve,Maxi,Printed,Red,Top
"Elegant blue tunic crafted from georgette fabric featuring a round neck, half sleeve, midi length and embroidery detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Georgette,Round Neck,Half Sleeve,Midi,Embroidery,Blue,Tunic
"Elegant green top crafted from linen fabric featuring a square neck, short sleeve, knee length length and sequins detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Linen,Square Neck,Short Sleeve,Knee Length,Sequins,Green,Top
"Elegant red kurti crafted from georgette fabric featuring a boat neck, full sleeve, maxi length and embroidery detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,Boat Neck,Full Sleeve,Maxi,Embroidery,Red,Kurti
"Elegant purple gown crafted from denim fabric featuring a round neck, three-quarter sleeve, midi length and lace detailing. Designed in a straight silhouette for a stylish look.",Straight,Denim,Round Neck,Three-Quarter Sleeve,Midi,Lace,Purple,Gown
"Elegant pink co-ord set crafted from linen fabric featuring a square neck, half sleeve, maxi length and lace detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Linen,Square Neck,Half Sleeve,Maxi,Lace,Pink,Co-ord Set
"Elegant blue kurti crafted from silk fabric featuring a halter neck, full sleeve, maxi length and embroidery detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Silk,Halter Neck,Full Sleeve,Maxi,Embroidery,Blue,Kurti
"Elegant green top crafted from cotton fabric featuring a keyhole neck, half sleeve, mini length and sequins detailing. Designed in a shift silhouette for a stylish look.",Shift,Cotton,Keyhole Neck,Half Sleeve,Mini,Sequins,Green,Top
"Elegant white shirt crafted from silk fabric featuring a keyhole neck, full sleeve, knee length length and ruffles detailing. Designed in a straight silhouette for a stylish look.",Straight,Silk,Keyhole Neck,Full Sleeve,Knee Length,Ruffles,White,Shirt
"Elegant pink shirt crafted from georgette fabric featuring a round neck, three-quarter sleeve, mini length and ruffles detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Georgette,Round Neck,Three-Quarter Sleeve,Mini,Ruffles,Pink,Shirt
"Elegant white tunic crafted from polyester fabric featuring a sweetheart neck, short sleeve, mini length and printed detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Polyester,Sweetheart Neck,Short Sleeve,Mini,Printed,White,Tunic
"Elegant purple co-ord set crafted from rayon fabric featuring a round neck, half sleeve, maxi length and embroidery detailing. Designed in a straight silhouette for a stylish look.",Straight,Rayon,Round Neck,Half Sleeve,Maxi,Embroidery,Purple,Co-ord Set
"Elegant yellow top crafted from polyester fabric featuring a round neck, half sleeve, knee length length and embroidery detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Polyester,Round Neck,Half Sleeve,Knee Length,Embroidery,Yellow,Top
"Elegant yellow co-ord set crafted from linen fabric featuring a collared, sleeveless, mini length and lace detailing. Designed in a shift silhouette for a stylish look.",Shift,Linen,Collared,Sleeveless,Mini,Lace,Yellow,Co-ord Set
"Elegant red gown crafted from polyester fabric featuring a keyhole neck, full sleeve, mini length and lace detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Polyester,Keyhole Neck,Full Sleeve,Mini,Lace,Red,Gown
"Elegant white tunic crafted from cotton fabric featuring a sweetheart neck, short sleeve, maxi length and embroidery detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Cotton,Sweetheart Neck,Short Sleeve,Maxi,Embroidery,White,Tunic
"Elegant pink gown crafted from cotton fabric featuring a halter neck, three-quarter sleeve, mini length and ruffles detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Cotton,Halter Neck,Three-Quarter Sleeve,Mini,Ruffles,Pink,Gown
"Elegant pink kurti crafted from georgette fabric featuring a v-neck, half sleeve, knee length length and sequins detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,V-Neck,Half Sleeve,Knee Length,Sequins,Pink,Kurti
"Elegant purple kurti crafted from georgette fabric featuring a sweetheart neck, puff sleeve, knee length length and applique detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,Sweetheart Neck,Puff Sleeve,Knee Length,Applique,Purple,Kurti
"Elegant black shirt crafted from polyester fabric featuring a keyhole neck, sleeveless, midi length and lace detailing. Designed in a straight silhouette for a stylish look.",Straight,Polyester,Keyhole Neck,Sleeveless,Midi,Lace,Black,Shirt
"Elegant green dress crafted from georgette fabric featuring a collared, full sleeve, maxi length and applique detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,Collared,Full Sleeve,Maxi,Applique,Green,Dress
"Elegant white tunic crafted from silk fabric featuring a sweetheart neck, sleeveless, midi length and beads detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Silk,Sweetheart Neck,Sleeveless,Midi,Beads,White,Tunic
"Elegant purple co-ord set crafted from chiffon fabric featuring a keyhole neck, three-quarter sleeve, midi length and embroidery detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Chiffon,Keyhole Neck,Three-Quarter Sleeve,Midi,Embroidery,Purple,Co-ord Set
"Elegant yellow kurti crafted from silk fabric featuring a v-neck, puff sleeve, maxi length and sequins detailing. Designed in a empire silhouette for a stylish look.",Empire,Silk,V-Neck,Puff Sleeve,Maxi,Sequins,Yellow,Kurti
"Elegant green co-ord set crafted from georgette fabric featuring a v-neck, sleeveless, midi length and beads detailing. Designed in a shift silhouette for a stylish look.",Shift,Georgette,V-Neck,Sleeveless,Midi,Beads,Green,Co-ord Set
"Elegant pink jumpsuit crafted from rayon fabric featuring a keyhole neck, half sleeve, maxi length and none detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Rayon,Keyhole Neck,Half Sleeve,Maxi,None,Pink,Jumpsuit
"Elegant red dress crafted from cotton fabric featuring a v-neck, puff sleeve, maxi length and printed detailing. Designed in a shift silhouette for a stylish look.",Shift,Cotton,V-Neck,Puff Sleeve,Maxi,Printed,Red,Dress
"Elegant pink tunic crafted from denim fabric featuring a round neck, short sleeve, mini length and lace detailing. Designed in a straight silhouette for a stylish look.",Straight,Denim,Round Neck,Short Sleeve,Mini,Lace,Pink,Tunic
"Elegant pink co-ord set crafted from cotton fabric featuring a boat neck, puff sleeve, maxi length and printed detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Cotton,Boat Neck,Puff Sleeve,Maxi,Printed,Pink,Co-ord Set
"Elegant blue top crafted from rayon fabric featuring a sweetheart neck, three-quarter sleeve, midi length and beads detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Rayon,Sweetheart Neck,Three-Quarter Sleeve,Midi,Beads,Blue,Top
"Elegant green gown crafted from rayon fabric featuring a keyhole neck, full sleeve, maxi length and sequins detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Rayon,Keyhole Neck,Full Sleeve,Maxi,Sequins,Green,Gown
